soc_code,occ_title,o_group,tot_emp,h_mean,a_mean,h_median,a_median
00-0000,All Occupations,total,154187380,32.66,67920.0,23.8,49500.0
11-0000,Management Occupations,major,10966830,68.15,141760.0,58.7,122090.0
11-1000,Top Executives,minor,3822780,67.24,139860.0,50.48,104990.0
11-1010,Chief Executives,broad,211850,126.41,262930.0,99.24,206420.0
11-1011,Chief Executives,detailed,211850,126.41,262930.0,99.24,206420.0
11-1020,General and Operations Managers,broad,3584420,64.0,133120.0,49.5,102950.0
11-1021,General and Operations Managers,detailed,3584420,64.0,133120.0,49.5,102950.0
11-1030,Legislators,broad,26510,,67390.0,,44810.0
11-1031,Legislators,detailed,26510,,67390.0,,44810.0
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,1122770,78.72,163740.0,69.48,144530.0
11-2010,Advertising and Promotions Managers,broad,21100,71.76,149270.0,61.04,126960.0
11-2011,Advertising and Promotions Managers,detailed,21100,71.76,149270.0,61.04,126960.0
11-2020,Marketing and Sales Managers,broad,988680,79.35,165050.0,71.57,148870.0
11-2021,Marketing Managers,detailed,384980,82.46,171520.0,77.42,161030.0
11-2022,Sales Managers,detailed,603710,77.37,160930.0,66.38,138060.0
11-2030,Public Relations and Fundraising Managers,broad,112980,74.49,154950.0,63.88,132870.0
11-2032,Public Relations Managers,detailed,76060,78.61,163520.0,66.6,138520.0
11-2033,Fundraising Managers,detailed,36920,66.01,137290.0,59.36,123480.0
11-3000,Operations Specialties Managers,minor,2669000,77.21,160590.0,67.46,140330.0
11-3010,Administrative Services and Facilities Managers,broad,395230,58.62,121920.0,51.39,106880.0
11-3012,Administrative Services Managers,detailed,254140,60.59,126030.0,52.11,108390.0
11-3013,Facilities Managers,detailed,141090,55.06,114520.0,50.33,104690.0
11-3020,Computer and Information Systems Managers,broad,645970,90.38,187990.0,82.31,171200.0
11-3021,Computer and Information Systems Managers,detailed,645970,90.38,187990.0,82.31,171200.0
11-3030,Financial Managers,broad,818620,86.76,180470.0,77.74,161700.0
11-3031,Financial Managers,detailed,818620,86.76,180470.0,77.74,161700.0
11-3050,Industrial Production Managers,broad,234380,62.11,129180.0,58.39,121440.0
11-3051,Industrial Production Managers,detailed,234380,62.11,129180.0,58.39,121440.0
11-3060,Purchasing Managers,broad,81240,72.42,150630.0,67.07,139510.0
11-3061,Purchasing Managers,detailed,81240,72.42,150630.0,67.07,139510.0
11-3070,"Transportation, Storage, and Distribution Managers",broad,213000,55.77,116010.0,49.05,102010.0
11-3071,"Transportation, Storage, and Distribution Managers",detailed,213000,55.77,116010.0,49.05,102010.0
11-3110,Compensation and Benefits Managers,broad,20070,75.11,156230.0,67.48,140360.0
11-3111,Compensation and Benefits Managers,detailed,20070,75.11,156230.0,67.48,140360.0
11-3120,Human Resources Managers,broad,215520,77.15,160480.0,67.32,140030.0
11-3121,Human Resources Managers,detailed,215520,77.15,160480.0,67.32,140030.0
11-3130,Training and Development Managers,broad,44960,67.59,140590.0,61.1,127090.0
11-3131,Training and Development Managers,detailed,44960,67.59,140590.0,61.1,127090.0
11-9000,Other Management Occupations,minor,3352280,58.44,121560.0,50.01,104030.0
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,5910,46.75,97240.0,42.3,87980.0
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,5910,46.75,97240.0,42.3,87980.0
11-9020,Construction Managers,broad,348330,57.53,119660.0,51.43,106980.0
11-9021,Construction Managers,detailed,348330,57.53,119660.0,51.43,106980.0
11-9030,Education and Childcare Administrators,broad,621000,52.63,109470.0,48.39,100650.0
11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,71620,30.12,62640.0,27.05,56270.0
11-9032,"Education Administrators, Kindergarten through Secondary",detailed,319630,,113360.0,,104070.0
11-9033,"Education Administrators, Postsecondary",detailed,176420,59.83,124450.0,49.98,103960.0
11-9039,"Education Administrators, All Other",detailed,53330,47.82,99460.0,42.81,89040.0
11-9040,Architectural and Engineering Managers,broad,210340,84.48,175710.0,80.64,167740.0
11-9041,Architectural and Engineering Managers,detailed,210340,84.48,175710.0,80.64,167740.0
11-9050,Food Service Managers,broad,244230,34.79,72370.0,31.4,65310.0
11-9051,Food Service Managers,detailed,244230,34.79,72370.0,31.4,65310.0
11-9070,Entertainment and Recreation Managers,broad,41320,42.68,88780.0,37.33,77650.0
11-9071,Gambling Managers,detailed,4620,49.27,102480.0,41.14,85580.0
11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,36700,41.86,87060.0,37.11,77180.0
11-9080,Lodging Managers,broad,41350,37.24,77460.0,32.76,68130.0
11-9081,Lodging Managers,detailed,41350,37.24,77460.0,32.76,68130.0
11-9110,Medical and Health Services Managers,broad,565840,66.22,137730.0,56.71,117960.0
11-9111,Medical and Health Services Managers,detailed,565840,66.22,137730.0,56.71,117960.0
11-9120,Natural Sciences Managers,broad,100870,83.41,173500.0,77.49,161180.0
11-9121,Natural Sciences Managers,detailed,100870,83.41,173500.0,77.49,161180.0
11-9130,Postmasters and Mail Superintendents,broad,13810,45.08,93760.0,44.58,92730.0
11-9131,Postmasters and Mail Superintendents,detailed,13810,45.08,93760.0,44.58,92730.0
11-9140,"Property, Real Estate, and Community Association Managers",broad,296640,39.77,82720.0,32.07,66700.0
11-9141,"Property, Real Estate, and Community Association Managers",detailed,296640,39.77,82720.0,32.07,66700.0
11-9150,Social and Community Service Managers,broad,195490,41.39,86100.0,37.61,78240.0
11-9151,Social and Community Service Managers,detailed,195490,41.39,86100.0,37.61,78240.0
11-9160,Emergency Management Directors,broad,12570,46.97,97700.0,41.41,86130.0
11-9161,Emergency Management Directors,detailed,12570,46.97,97700.0,41.41,86130.0
11-9170,Personal Service Managers,broad,23610,37.97,78970.0,33.92,70560.0
11-9171,Funeral Home Managers,detailed,13120,41.18,85650.0,36.94,76830.0
11-9179,"Personal Service Managers, All Other",detailed,10490,33.95,70620.0,29.49,61340.0
11-9190,Miscellaneous Managers,broad,630980,72.06,149890.0,65.65,136550.0
11-9199,"Managers, All Other",detailed,630980,72.06,149890.0,65.65,136550.0
13-0000,Business and Financial Operations Occupations,major,10351440,45.04,93680.0,38.9,80920.0
13-1000,Business Operations Specialists,minor,7318320,43.76,91020.0,38.66,80410.0
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,14220,79.62,165600.0,46.3,96310.0
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,14220,79.62,165600.0,46.3,96310.0
13-1020,Buyers and Purchasing Agents,broad,486900,39.29,81720.0,36.37,75650.0
13-1020,Buyers and Purchasing Agents,detailed,486900,39.29,81720.0,36.37,75650.0
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,312810,37.85,78720.0,36.92,76790.0
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,305020,37.87,78770.0,36.92,76790.0
13-1032,"Insurance Appraisers, Auto Damage",detailed,7790,37.04,77050.0,36.85,76650.0
13-1040,Compliance Officers,broad,397770,40.86,84980.0,37.7,78420.0
13-1041,Compliance Officers,detailed,397770,40.86,84980.0,37.7,78420.0
13-1050,Cost Estimators,broad,219530,39.98,83160.0,37.05,77070.0
13-1051,Cost Estimators,detailed,219530,39.98,83160.0,37.05,77070.0
13-1070,Human Resources Workers,broad,982460,38.88,80860.0,35.68,74220.0
13-1071,Human Resources Specialists,detailed,917460,38.33,79730.0,35.05,72910.0
13-1074,Farm Labor Contractors,detailed,410,24.96,51910.0,23.41,48690.0
13-1075,Labor Relations Specialists,detailed,64590,46.7,97130.0,44.95,93500.0
13-1080,Logisticians and Project Management Specialists,broad,1241800,50.1,104210.0,47.15,98070.0
13-1081,Logisticians,detailed,235640,42.12,87600.0,38.89,80880.0
13-1082,Project Management Specialists,detailed,1006160,51.97,108100.0,48.44,100750.0
13-1110,Management Analysts,broad,893900,55.15,114710.0,48.65,101190.0
13-1111,Management Analysts,detailed,893900,55.15,114710.0,48.65,101190.0
13-1120,"Meeting, Convention, and Event Planners",broad,134670,31.29,65090.0,28.58,59440.0
13-1121,"Meeting, Convention, and Event Planners",detailed,134670,31.29,65090.0,28.58,59440.0
13-1130,Fundraisers,broad,105930,35.16,73130.0,31.97,66490.0
13-1131,Fundraisers,detailed,105930,35.16,73130.0,31.97,66490.0
13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,102370,39.86,82920.0,37.03,77020.0
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,102370,39.86,82920.0,37.03,77020.0
13-1150,Training and Development Specialists,broad,436610,35.46,73760.0,31.66,65850.0
13-1151,Training and Development Specialists,detailed,436610,35.46,73760.0,31.66,65850.0
13-1160,Market Research Analysts and Marketing Specialists,broad,861140,41.58,86480.0,37.0,76950.0
