soc_code,title,element_name,scale_id,category,data_value,recommend_suppress
11-1011,Chief Executives,Required Level of Education,RL,1.0,0.0,N
11-1011,Chief Executives,Required Level of Education,RL,2.0,4.46,N
11-1011,Chief Executives,Required Level of Education,RL,3.0,0.0,N
11-1011,Chief Executives,Required Level of Education,RL,4.0,0.0,N
11-1011,Chief Executives,Required Level of Education,RL,5.0,5.15,N
11-1011,Chief Executives,Required Level of Education,RL,6.0,32.29,N
11-1011,Chief Executives,Required Level of Education,RL,7.0,0.0,N
11-1011,Chief Executives,Required Level of Education,RL,8.0,45.91,N
11-1011,Chief Executives,Required Level of Education,RL,9.0,3.94,N
11-1011,Chief Executives,Required Level of Education,RL,10.0,0.55,N
11-1011,Chief Executives,Required Level of Education,RL,11.0,4.92,N
11-1011,Chief Executives,Required Level of Education,RL,12.0,2.78,N
11-1011,Chief Executives,Job-Related Professional Certification,IM,,3.01,N
11-1011,Chief Executives,Related Work Experience,RW,1.0,0.0,N
11-1011,Chief Executives,Related Work Experience,RW,2.0,0.0,N
11-1011,Chief Executives,Related Work Experience,RW,3.0,0.0,N
11-1011,Chief Executives,Related Work Experience,RW,4.0,0.0,N
11-1011,Chief Executives,Related Work Experience,RW,5.0,0.0,N
11-1011,Chief Executives,Related Work Experience,RW,6.0,0.0,N
11-1011,Chief Executives,Related Work Experience,RW,7.0,9.69,N
11-1011,Chief Executives,Related Work Experience,RW,8.0,5.87,N
11-1011,Chief Executives,Related Work Experience,RW,9.0,15.09,N
11-1011,Chief Executives,Related Work Experience,RW,10.0,1.11,N
11-1011,Chief Executives,Related Work Experience,RW,11.0,68.24,N
11-1011,Chief Executives,On-Site or In-Plant Training,PT,1.0,10.22,N
11-1011,Chief Executives,On-Site or In-Plant Training,PT,2.0,3.82,N
11-1011,Chief Executives,On-Site or In-Plant Training,PT,3.0,5.15,N
11-1011,Chief Executives,On-Site or In-Plant Training,PT,4.0,6.66,N
11-1011,Chief Executives,On-Site or In-Plant Training,PT,5.0,16.79,N
11-1011,Chief Executives,On-Site or In-Plant Training,PT,6.0,0.52,N
11-1011,Chief Executives,On-Site or In-Plant Training,PT,7.0,6.62,N
11-1011,Chief Executives,On-Site or In-Plant Training,PT,8.0,15.92,N
11-1011,Chief Executives,On-Site or In-Plant Training,PT,9.0,34.32,Y
11-1011,Chief Executives,On-the-Job Training,OJ,1.0,4.57,N
11-1011,Chief Executives,On-the-Job Training,OJ,2.0,8.5,N
11-1011,Chief Executives,On-the-Job Training,OJ,3.0,5.31,N
11-1011,Chief Executives,On-the-Job Training,OJ,4.0,13.38,N
11-1011,Chief Executives,On-the-Job Training,OJ,5.0,9.67,N
11-1011,Chief Executives,On-the-Job Training,OJ,6.0,4.6,N
11-1011,Chief Executives,On-the-Job Training,OJ,7.0,6.68,N
11-1011,Chief Executives,On-the-Job Training,OJ,8.0,12.03,N
11-1011,Chief Executives,On-the-Job Training,OJ,9.0,35.25,Y
11-1011,Chief Executives,Job-related Apprenticeship,IM,,2.2,N
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,1.0,0.0,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,2.0,0.0,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,3.0,0.0,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,4.0,0.0,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,5.0,0.0,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,6.0,18.52,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,7.0,0.0,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,8.0,74.07,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,9.0,7.41,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,10.0,0.0,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,11.0,0.0,
11-1011.03,Chief Sustainability Officers,Required Level of Education,RL,12.0,0.0,
11-1011.03,Chief Sustainability Officers,Job-Related Professional Certification,IM,,2.7,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,1.0,0.0,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,2.0,0.0,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,3.0,0.0,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,4.0,0.0,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,5.0,0.0,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,6.0,3.7,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,7.0,11.11,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,8.0,40.74,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,9.0,18.52,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,10.0,11.11,
11-1011.03,Chief Sustainability Officers,Related Work Experience,RW,11.0,14.81,
11-1011.03,Chief Sustainability Officers,On-Site or In-Plant Training,PT,1.0,40.74,
11-1011.03,Chief Sustainability Officers,On-Site or In-Plant Training,PT,2.0,22.22,
11-1011.03,Chief Sustainability Officers,On-Site or In-Plant Training,PT,3.0,7.41,
11-1011.03,Chief Sustainability Officers,On-Site or In-Plant Training,PT,4.0,7.41,
11-1011.03,Chief Sustainability Officers,On-Site or In-Plant Training,PT,5.0,7.41,
11-1011.03,Chief Sustainability Officers,On-Site or In-Plant Training,PT,6.0,0.0,
11-1011.03,Chief Sustainability Officers,On-Site or In-Plant Training,PT,7.0,7.41,
11-1011.03,Chief Sustainability Officers,On-Site or In-Plant Training,PT,8.0,0.0,
11-1011.03,Chief Sustainability Officers,On-Site or In-Plant Training,PT,9.0,7.41,
11-1011.03,Chief Sustainability Officers,On-the-Job Training,OJ,1.0,25.93,
11-1011.03,Chief Sustainability Officers,On-the-Job Training,OJ,2.0,18.52,
11-1011.03,Chief Sustainability Officers,On-the-Job Training,OJ,3.0,11.11,
11-1011.03,Chief Sustainability Officers,On-the-Job Training,OJ,4.0,22.22,
11-1011.03,Chief Sustainability Officers,On-the-Job Training,OJ,5.0,7.41,
11-1011.03,Chief Sustainability Officers,On-the-Job Training,OJ,6.0,7.41,
11-1011.03,Chief Sustainability Officers,On-the-Job Training,OJ,7.0,0.0,
11-1011.03,Chief Sustainability Officers,On-the-Job Training,OJ,8.0,3.7,
11-1011.03,Chief Sustainability Officers,On-the-Job Training,OJ,9.0,3.7,
11-1011.03,Chief Sustainability Officers,Job-related Apprenticeship,IM,,1.81,
11-1021,General and Operations Managers,Required Level of Education,RL,1.0,10.35,N
11-1021,General and Operations Managers,Required Level of Education,RL,2.0,28.76,N
11-1021,General and Operations Managers,Required Level of Education,RL,3.0,5.72,N
11-1021,General and Operations Managers,Required Level of Education,RL,4.0,21.59,N
11-1021,General and Operations Managers,Required Level of Education,RL,5.0,5.99,N
11-1021,General and Operations Managers,Required Level of Education,RL,6.0,27.3,N
11-1021,General and Operations Managers,Required Level of Education,RL,7.0,0.14,N
11-1021,General and Operations Managers,Required Level of Education,RL,8.0,0.15,N
11-1021,General and Operations Managers,Required Level of Education,RL,9.0,0.0,N
11-1021,General and Operations Managers,Required Level of Education,RL,10.0,0.0,N
11-1021,General and Operations Managers,Required Level of Education,RL,11.0,0.0,N
11-1021,General and Operations Managers,Required Level of Education,RL,12.0,0.0,N
11-1021,General and Operations Managers,Job-Related Professional Certification,IM,,1.88,N
11-1021,General and Operations Managers,Related Work Experience,RW,1.0,10.35,N
11-1021,General and Operations Managers,Related Work Experience,RW,2.0,1.5,N
11-1021,General and Operations Managers,Related Work Experience,RW,3.0,0.22,N
11-1021,General and Operations Managers,Related Work Experience,RW,4.0,2.03,N
11-1021,General and Operations Managers,Related Work Experience,RW,5.0,15.26,N
11-1021,General and Operations Managers,Related Work Experience,RW,6.0,3.66,N
11-1021,General and Operations Managers,Related Work Experience,RW,7.0,18.97,N
11-1021,General and Operations Managers,Related Work Experience,RW,8.0,24.23,N
11-1021,General and Operations Managers,Related Work Experience,RW,9.0,5.72,N
11-1021,General and Operations Managers,Related Work Experience,RW,10.0,0.14,N
11-1021,General and Operations Managers,Related Work Experience,RW,11.0,17.93,N
11-1021,General and Operations Managers,On-Site or In-Plant Training,PT,1.0,10.96,N
11-1021,General and Operations Managers,On-Site or In-Plant Training,PT,2.0,8.14,N
11-1021,General and Operations Managers,On-Site or In-Plant Training,PT,3.0,18.09,N
11-1021,General and Operations Managers,On-Site or In-Plant Training,PT,4.0,0.35,N
11-1021,General and Operations Managers,On-Site or In-Plant Training,PT,5.0,18.11,N
11-1021,General and Operations Managers,On-Site or In-Plant Training,PT,6.0,15.09,N
11-1021,General and Operations Managers,On-Site or In-Plant Training,PT,7.0,25.62,N
11-1021,General and Operations Managers,On-Site or In-Plant Training,PT,8.0,3.47,N
11-1021,General and Operations Managers,On-Site or In-Plant Training,PT,9.0,0.17,N
