soc_code,preferred_edu_category,preferred_edu_pct,preferred_education
29-9092,8.0,100.0,Master's Degree
11-3051.01,6.0,100.0,Bachelor's Degree
43-2021,2.0,97.83,High School Diploma or GED
51-8093,2.0,97.02,High School Diploma or GED
47-5081,2.0,96.59,High School Diploma or GED
25-1065,11.0,96.54,Doctoral Degree
41-2012,2.0,96.45,High School Diploma or GED
29-1299.01,11.0,96.0,Doctoral Degree
29-1181,11.0,95.45,Doctoral Degree
29-1041,11.0,95.24,Doctoral Degree
13-2041,6.0,95.0,Bachelor's Degree
51-6063,2.0,94.68,High School Diploma or GED
33-3012,2.0,92.43,High School Diploma or GED
27-2012.05,6.0,92.07,Bachelor's Degree
29-1125,6.0,91.89,Bachelor's Degree
31-2011,5.0,91.74,Associate's Degree
19-3039.03,12.0,91.67,Post-Doctoral Training
49-9091,2.0,91.61,High School Diploma or GED
51-2061,2.0,91.37,High School Diploma or GED
17-2041,6.0,91.3,Bachelor's Degree
27-3031,6.0,90.91,Bachelor's Degree
51-9012,2.0,90.81,High School Diploma or GED
29-1129.01,8.0,90.62,Master's Degree
33-3041,2.0,90.61,High School Diploma or GED
13-1131,6.0,90.48,Bachelor's Degree
37-2021,2.0,90.24,High School Diploma or GED
47-4061,2.0,90.22,High School Diploma or GED
29-2091,8.0,90.0,Master's Degree
17-2112.02,6.0,90.0,Bachelor's Degree
25-1081,11.0,89.76,Doctoral Degree
47-2042,2.0,89.53,High School Diploma or GED
49-3022,2.0,89.5,High School Diploma or GED
31-1132,2.0,89.32,High School Diploma or GED
21-1014,8.0,89.29,Master's Degree
15-1242,6.0,88.98,Bachelor's Degree
43-2011,2.0,88.55,High School Diploma or GED
29-1127,8.0,88.52,Master's Degree
19-3094,11.0,88.46,Doctoral Degree
47-4051,2.0,88.29,High School Diploma or GED
15-1251,6.0,88.04,Bachelor's Degree
21-1092,6.0,88.03,Bachelor's Degree
51-5113,2.0,87.93,High School Diploma or GED
39-3012,2.0,87.07,High School Diploma or GED
13-2061,6.0,86.96,Bachelor's Degree
29-1141.02,8.0,86.96,Master's Degree
47-5043,2.0,86.71,High School Diploma or GED
53-4041,2.0,86.52,High School Diploma or GED
39-4011,5.0,86.37,Associate's Degree
29-1122,8.0,86.36,Master's Degree
51-3093,2.0,85.92,High School Diploma or GED
45-2021,2.0,85.74,High School Diploma or GED
29-1141.04,8.0,85.71,Master's Degree
13-1141,6.0,85.71,Bachelor's Degree
17-2051,6.0,85.71,Bachelor's Degree
53-4031,2.0,85.64,High School Diploma or GED
33-9093,2.0,85.19,High School Diploma or GED
15-2051.02,6.0,85.0,Bachelor's Degree
17-1012,6.0,85.0,Bachelor's Degree
43-3041,2.0,84.85,High School Diploma or GED
15-1252,6.0,84.8,Bachelor's Degree
51-4021,2.0,84.69,High School Diploma or GED
17-2111.02,6.0,84.62,Bachelor's Degree
31-2021,5.0,84.16,Associate's Degree
33-9031,2.0,84.07,High School Diploma or GED
51-9151,2.0,84.07,High School Diploma or GED
19-3039.02,12.0,84.0,Post-Doctoral Training
27-1025,6.0,84.0,Bachelor's Degree
19-1032,6.0,83.96,Bachelor's Degree
25-4011,8.0,83.87,Master's Degree
51-9141,2.0,83.85,High School Diploma or GED
53-3052,2.0,83.83,High School Diploma or GED
17-2072,6.0,83.3,Bachelor's Degree
29-1126,5.0,82.75,Associate's Degree
53-4013,2.0,82.54,High School Diploma or GED
51-4022,2.0,82.3,High School Diploma or GED
53-6061,2.0,82.22,High School Diploma or GED
51-6051,1.0,82.18,Less than High School
29-1011,11.0,82.14,Doctoral Degree
25-2057,6.0,82.13,Bachelor's Degree
11-3121,6.0,81.82,Bachelor's Degree
19-1012,6.0,81.82,Bachelor's Degree
13-1051,6.0,81.82,Bachelor's Degree
51-4081,2.0,81.65,High School Diploma or GED
17-2071,6.0,81.62,Bachelor's Degree
17-1022.01,6.0,81.48,Bachelor's Degree
51-2092,2.0,81.47,High School Diploma or GED
53-7081,2.0,81.47,High School Diploma or GED
29-1021,11.0,81.44,Doctoral Degree
53-7121,2.0,81.42,High School Diploma or GED
43-5053,2.0,81.39,High School Diploma or GED
